timestamp,duration,presses,clicks,deltaX,deltaY,scrollX,scrollY
2026-06-09 19:01:09.504000+00:00,0:00:00.496380,0,0,0,0,0,0
2026-06-09 18:10:40.004000+00:00,0:00:04.999792,0,0,950,521,0,0
2026-06-09 18:10:35.004000+00:00,0:00:05.000177,0,0,0,0,0,0
2026-06-09 18:10:30.004000+00:00,0:00:05.000016,0,0,566,169,0,0
2026-06-09 18:10:05.004000+00:00,0:00:24.999955,0,0,0,0,0,0
2026-06-09 18:10:00.004000+00:00,0:00:05.000130,1,2,118,261,0,0
2026-06-09 18:09:55.004000+00:00,0:00:05.000062,0,0,222,9,0,0
2026-06-09 18:09:50.004000+00:00,0:00:04.999979,0,1,1272,505,0,0
2026-06-09 18:09:45.004000+00:00,0:00:04.999848,0,1,295,221,0,0
2026-06-09 18:09:15.004000+00:00,0:00:30.000172,0,0,0,0,0,0
2026-06-09 18:09:10.004000+00:00,0:00:04.999966,0,0,195,279,0,0
2026-06-09 18:09:05.004000+00:00,0:00:05.000012,0,0,82,291,0,0
2026-06-09 18:08:35.004000+00:00,0:00:29.999828,0,0,0,0,0,0
2026-06-09 18:08:30.004000+00:00,0:00:04.999882,1,0,0,0,0,0
2026-06-09 18:08:25.004000+00:00,0:00:05.000030,6,0,67,6,0,0
2026-06-09 18:08:20.004000+00:00,0:00:05.000075,21,0,459,513,0,0
2026-06-09 18:08:15.004000+00:00,0:00:04.999925,66,0,0,0,0,0
2026-06-09 18:08:10.004000+00:00,0:00:04.999999,4,1,198,792,0,0
2026-06-09 18:08:05.006000+00:00,0:00:04.997559,17,0,0,0,0,0
2026-06-09 18:08:00.004000+00:00,0:00:05.002294,4,1,375,72,0,0
2026-06-09 18:04:05.004000+00:00,0:03:55.000056,0,0,0,0,0,0
2026-06-09 18:04:00.004000+00:00,0:00:05.000166,0,0,938,362,0,0
2026-06-09 18:03:55.004000+00:00,0:00:04.999905,0,0,264,363,0,0
2026-06-09 18:03:40.004000+00:00,0:00:15.000046,0,0,0,0,0,0
2026-06-09 18:03:35.004000+00:00,0:00:04.999932,1,1,692,712,0,0
